station,date,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10
USW00093184,2022-04-29,22.0,,,0.0,,,,222.0,139.0,,220.0,230.0,58.0,76.0,,,,,,
USW00093184,2022-04-30,22.0,,,0.0,,,,244.0,144.0,,220.0,200.0,63.0,81.0,,,,,,
USW00093184,2022-05-01,38.0,,,0.0,,,,217.0,150.0,,200.0,200.0,72.0,98.0,,,,,1.0,
USW00093184,2022-05-02,30.0,,,0.0,,,,222.0,167.0,,200.0,210.0,63.0,85.0,,,,,,
USW00093184,2022-05-03,33.0,,,0.0,,,,211.0,161.0,,190.0,190.0,72.0,98.0,,,,,1.0,
USW00093184,2022-05-04,24.0,,,0.0,,,,233.0,144.0,,220.0,210.0,54.0,76.0,,,,,,
USW00093184,2022-05-05,19.0,,,0.0,,,,244.0,156.0,,210.0,200.0,58.0,72.0,,,,,,
USW00093184,2022-05-06,30.0,,,0.0,,,,228.0,150.0,,190.0,210.0,67.0,89.0,1.0,,,,1.0,
USW00093184,2022-05-07,36.0,,,0.0,,,,217.0,172.0,,200.0,210.0,76.0,98.0,,,,,,
USW00093184,2022-05-08,41.0,,,0.0,,,,217.0,156.0,,200.0,180.0,76.0,107.0,,,,,,
USW00093184,2022-05-09,30.0,,,0.0,,,,211.0,144.0,,210.0,200.0,76.0,103.0,,,,,,
USW00093184,2022-05-10,32.0,,,0.0,,,,217.0,128.0,,260.0,260.0,67.0,98.0,,,,,,
USW00093184,2022-05-11,32.0,,,0.0,,,,211.0,122.0,,230.0,220.0,72.0,98.0,,,,,,
USW00093184,2022-05-12,23.0,,,0.0,,,,267.0,122.0,,220.0,230.0,72.0,94.0,,,,,,
USW00093184,2022-05-13,22.0,,,0.0,,,,300.0,150.0,,200.0,200.0,63.0,81.0,,,,,1.0,
USW00093184,2022-05-14,19.0,,,0.0,,,,306.0,167.0,,200.0,200.0,54.0,72.0,,,,,,
USW00093184,2022-05-15,30.0,,,0.0,,,,250.0,167.0,,210.0,210.0,76.0,94.0,,,,,,
USW00093184,2022-05-16,31.0,,,0.0,,,,222.0,161.0,,210.0,210.0,63.0,85.0,,,,,,
USW00093184,2022-05-17,37.0,,,0.0,,,,211.0,167.0,,180.0,190.0,67.0,89.0,,,,,,
USW00093184,2022-05-18,29.0,,,0.0,,,,228.0,167.0,,180.0,210.0,58.0,81.0,,,,,,
USW00093184,2022-05-19,35.0,,,0.0,,,,200.0,161.0,,180.0,190.0,63.0,85.0,,,,,,
